"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like View Ratio","days_from_pub_to_trend"
1502283,1910,100,243,2018,5,22,2018,5,30,"Film & Animation",0.00127139826517374,8
1803225,21804,4937,4723,2017,11,20,2017,11,23,"Film & Animation",0.0120916690928753,3
10592828,204228,11980,37655,2018,6,4,2018,6,9,"Film & Animation",0.0192798372634768,5
698390,23897,943,3133,2017,12,12,2017,12,13,"Film & Animation",0.0342172711522215,1
1318729,39261,1238,4991,2018,5,16,2018,5,30,"Film & Animation",0.029771848499578,14
1111583,26748,808,3704,2017,12,5,2017,12,9,"Film & Animation",0.024062980452202,4
16048699,169473,5317,12671,2018,5,16,2018,5,30,"Film & Animation",0.0105599213992362,14
1187738,56087,1045,1797,2018,2,26,2018,3,6,"Film & Animation",0.0472216936731838,10
926002,15061,625,1350,2018,3,12,2018,3,18,"Film & Animation",0.0162645437050892,6
1232587,30624,3056,4684,2018,4,18,2018,5,5,"Film & Animation",0.0248453050372915,17
4539805,107953,5670,16124,2018,5,15,2018,5,20,"Film & Animation",0.0237792151865554,5
7720261,366303,8021,27524,2018,2,10,2018,2,19,"Film & Animation",0.0474469710285702,9
683198,18037,471,1712,2017,12,26,2017,12,28,"Film & Animation",0.0264008384099485,2
5386449,148998,3870,16806,2018,5,25,2018,6,4,"Film & Animation",0.0276616375649338,9
2242244,66380,4752,15201,2018,3,27,2018,3,29,"Film & Animation",0.0296042714352229,2
4309706,117899,9780,20011,2018,5,27,2018,5,31,"Film & Animation",0.0273566224703031,4
2493439,58275,2835,4510,2017,11,28,2017,12,2,"Film & Animation",0.023371335733499,4
1054594,27044,704,4197,2018,1,9,2018,1,12,"Film & Animation",0.0256439919058899,3
660911,23622,3145,4170,2018,5,1,2018,5,2,"Film & Animation",0.0357415748867851,1
5449682,464729,5741,28126,2018,5,10,2018,5,13,"Film & Animation",0.0852763519045698,3
25274694,339824,13824,29831,2018,4,13,2018,5,14,"Film & Animation",0.0134452270717897,31
1343457,60117,1401,4571,2017,12,20,2017,12,26,"Film & Animation",0.0447479897011962,6
1132930,774,147,104,2018,3,14,2018,3,18,"Film & Animation",0.00068318430971022,4
733482,25650,1604,3125,2018,4,6,2018,4,23,"Film & Animation",0.034970183317382,17
22118673,410051,9540,45689,2017,11,18,2017,11,24,"Film & Animation",0.0185386799651136,6
1063024,23679,942,2263,2018,2,27,2018,3,9,"Film & Animation",0.0222751320760397,12
1383897,24799,590,3215,2018,5,16,2018,5,18,"Film & Animation",0.0179196862194224,2
1429739,79078,1035,2423,2018,4,9,2018,4,14,"Film & Animation",0.0553093956309508,5
2174369,60161,2431,6288,2018,4,10,2018,4,18,"Film & Animation",0.0276682568598062,8
7941440,45248,794,2503,2018,2,14,2018,2,23,"Film & Animation",0.00569770721682717,9
9099316,33980,13498,10078,2018,5,3,2018,5,22,"Film & Animation",0.0037343466256145,19
1655936,35415,1991,5379,2018,2,6,2018,2,9,"Film & Animation",0.0213866961041973,3
5986604,192698,10617,25712,2017,12,30,2018,1,8,"Film & Animation",0.0321881988519702,13
1924624,55998,2229,5833,2018,4,10,2018,4,15,"Film & Animation",0.0290955532093541,5
3915324,51009,3454,2832,2017,12,20,2017,12,29,"Film & Animation",0.0130280405912767,9
8923295,376565,7432,30544,2018,3,30,2018,4,19,"Film & Animation",0.0422002186412082,19
1727208,34525,4081,8022,2018,1,23,2018,1,27,"Film & Animation",0.0199889069527237,4
9052821,279714,5398,17652,2018,5,15,2018,5,18,"Film & Animation",0.0308979930123439,3
656541,4949,1127,1208,2018,2,1,2018,2,3,"Film & Animation",0.00753799077285348,2
1664324,6854,6984,0,2018,5,6,2018,5,14,"Film & Animation",0.00411818852579185,8
1821948,50335,671,1521,2018,4,4,2018,4,16,"Film & Animation",0.0276270233837629,12
16215326,170480,5354,12651,2018,5,16,2018,6,1,"Film & Animation",0.0105135104900142,15
13056713,340595,6789,19582,2018,5,15,2018,6,3,"Film & Animation",0.0260858150133192,18
1801502,42440,1226,4852,2017,12,19,2017,12,29,"Film & Animation",0.0235581198355594,10
8225349,29792,12049,8530,2018,5,3,2018,5,8,"Film & Animation",0.00362197397338399,5
10096037,286376,7049,34565,2018,2,15,2018,2,16,"Film & Animation",0.028365189232171,1
1841123,57541,1248,6005,2018,5,29,2018,6,8,"Film & Animation",0.0312532079605762,9
8438568,368984,7309,30002,2018,3,30,2018,4,14,"Film & Animation",0.0437259023094914,14
731476,25213,172,756,2018,5,14,2018,6,3,"Film & Animation",0.0344686633601102,19
597340,17345,266,2688,2018,5,22,2018,5,24,"Film & Animation",0.0290370643184786,2
8258921,200215,7453,38473,2018,2,28,2018,3,2,"Film & Animation",0.0242422708729143,4
631000,30664,536,1806,2017,11,13,2017,11,20,"Film & Animation",0.0485958795562599,7
1626811,29863,1742,4185,2018,4,10,2018,4,14,"Film & Animation",0.018356772851917,4
1470298,24511,1924,5235,2018,2,26,2018,2,28,"Film & Animation",0.0166707701431955,2
3759610,128854,3207,17308,2018,2,6,2018,2,9,"Film & Animation",0.0342732357877546,3
19515345,391429,4400,26536,2018,4,19,2018,5,4,"Film & Animation",0.0200574983429706,15
2230014,23707,5378,5447,2017,11,20,2017,11,26,"Film & Animation",0.0106308749631168,6
35688137,784549,14402,37559,2018,5,10,2018,5,29,"Film & Animation",0.0219834675035012,19
1827786,57103,955,5467,2017,11,28,2017,12,1,"Film & Animation",0.0312416223781121,3
6749073,49818,1832,4694,2018,3,29,2018,4,2,"Film & Animation",0.00738145816469906,3
2451119,88918,9206,19988,2018,2,20,2018,2,26,"Film & Animation",0.0362764924917966,6
2730157,73517,5470,17271,2018,3,27,2018,3,31,"Film & Animation",0.0269277554367752,4
1496471,43974,2045,9442,2017,11,14,2017,11,16,"Film & Animation",0.029385133423902,2
11907002,320679,7145,14357,2017,11,15,2017,11,22,"Film & Animation",0.0269319682653954,7
6584213,335345,6516,27339,2018,3,30,2018,4,5,"Film & Animation",0.0509316755092826,5
1876256,82721,2697,7876,2018,5,8,2018,5,16,"Film & Animation",0.0440883333617587,8
706989,15891,751,2718,2017,12,26,2017,12,28,"Film & Animation",0.0224770116649623,2
592532,11310,166,314,2018,3,7,2018,3,14,"Film & Animation",0.0190875767047181,7
557719,3894,151,543,2018,4,27,2018,5,10,"Film & Animation",0.00698201065411076,13
17541310,277443,12579,50672,2018,2,28,2018,3,7,"Film & Animation",0.0158165496191562,9
36152111,444698,15434,48348,2017,11,18,2017,11,28,"Film & Animation",0.0123007478041877,10
3707659,50200,3312,2828,2017,12,20,2017,12,28,"Film & Animation",0.0135395407182807,8
4384273,15348,400,2706,2017,11,16,2017,11,22,"Film & Animation",0.00350069441387432,6
1075224,30158,1348,3872,2017,12,12,2017,12,14,"Film & Animation",0.028048109045185,2
6406289,133832,5261,16964,2018,3,6,2018,3,10,"Film & Animation",0.0208907216018509,4
2132657,3488,76,159,2018,5,23,2018,6,5,"Film & Animation",0.00163551851047777,12
5203057,126811,11067,21527,2018,5,27,2018,6,7,"Film & Animation",0.0243724026086972,10
923181,10099,36196,7115,2018,2,8,2018,2,14,"Film & Animation",0.0109393499216297,6
2140829,3573,78,158,2018,5,23,2018,6,6,"Film & Animation",0.00166897963359054,13
826116,9662,34813,6873,2018,2,8,2018,2,13,"Film & Animation",0.011695694067177,5
5605621,214818,4057,14381,2018,1,20,2018,1,27,"Film & Animation",0.0383218915442196,7
3749189,203823,3167,37876,2018,4,8,2018,4,21,"Film & Animation",0.0543645572415794,13
726665,20573,485,3763,2018,2,7,2018,2,16,"Film & Animation",0.0283115328246166,9
1143737,55273,1246,4437,2017,12,20,2017,12,23,"Film & Animation",0.0483266695053146,3
887367,6095,34,703,2018,1,10,2018,1,13,"Film & Animation",0.00686863496163369,3
589732,5068,95,336,2018,3,9,2018,3,17,"Film & Animation",0.00859373410294846,8
3191887,86426,2464,9432,2018,3,6,2018,3,18,"Film & Animation",0.0270767730812526,12
18944098,360585,6181,18746,2018,2,7,2018,2,15,"Film & Animation",0.0190341604018307,8
32729048,437331,18532,48072,2018,2,15,2018,2,24,"Film & Animation",0.0133621668433497,9
982751,345,42,16,2018,4,26,2018,4,30,"Film & Animation",0.000351055353797656,4
11439616,190133,3433,14747,2018,2,5,2018,2,7,"Film & Animation",0.0166205753759567,2
611176,5140,102,347,2018,3,9,2018,3,18,"Film & Animation",0.00841001610010864,9
2108246,27673,918,2677,2018,3,29,2018,3,30,"Film & Animation",0.0131260773173529,1
685579,46244,833,8941,2018,6,7,2018,6,8,"Film & Animation",0.0674524744777772,1
1942666,38043,2347,5802,2018,2,6,2018,2,13,"Film & Animation",0.0195828824924099,7
2502762,89993,9338,20175,2018,2,20,2018,2,27,"Film & Animation",0.0359574741825231,7
7672341,145560,13759,32316,2018,5,17,2018,5,26,"Film & Animation",0.0189720451684825,9
5587218,33110,3503,4007,2018,6,7,2018,6,14,"Film & Animation",0.0059260261546981,7
1737147,12841,5198,3007,2017,12,21,2017,12,29,"Film & Animation",0.00739200539735555,8
1511973,63033,1481,4723,2017,12,20,2017,12,31,"Film & Animation",0.0416892365141441,11
10856602,35572,1232,2633,2018,2,5,2018,2,7,"Film & Animation",0.00327653164406322,2
708591,60407,327,3528,2018,2,11,2018,2,19,"Film & Animation",0.0852494598435487,8
1554846,32363,1500,5530,2017,12,26,2017,12,30,"Film & Animation",0.020814279999434,4
895352,141731,2413,11279,2017,12,1,2017,12,8,"Film & Animation",0.158296401862061,7
1162281,55435,2825,5847,2018,1,7,2018,1,13,"Film & Animation",0.0476950066292058,6
4837737,200611,3745,13452,2018,1,20,2018,1,25,"Film & Animation",0.0414679425524786,5
16816300,365637,3879,25007,2018,4,19,2018,4,28,"Film & Animation",0.021743011245042,9
1844039,13424,532,1491,2018,1,30,2018,2,2,"Film & Animation",0.00727967250150349,2
12382809,328876,7238,14836,2017,11,15,2017,11,23,"Film & Animation",0.0265590788002948,8
2350416,85655,2768,20246,2018,1,9,2018,1,15,"Film & Animation",0.0364424850749825,6
1511003,2328,50,122,2018,5,23,2018,5,30,"Film & Animation",0.00154069846320623,7
1667408,51184,378,3404,2018,1,12,2018,1,18,"Film & Animation",0.0306967460873404,6
746805,25384,173,768,2018,5,14,2018,6,8,"Film & Animation",0.03399013129264,24
19864779,228670,16420,46318,2018,6,5,2018,6,14,"Film & Animation",0.0115113286686955,9
2128148,80696,2486,19168,2018,1,9,2018,1,14,"Film & Animation",0.0379184154485496,5
941460,45115,887,3956,2018,3,20,2018,3,22,"Film & Animation",0.0479202515242283,2
23608330,332760,13122,29131,2018,4,13,2018,4,29,"Film & Animation",0.0140950249339958,16
1950885,42804,695,1623,2017,12,19,2017,12,22,"Film & Animation",0.0219408114778677,3
8842795,375430,7412,30577,2018,3,30,2018,4,18,"Film & Animation",0.0424560334147744,18
787480,19655,582,1820,2017,12,26,2017,12,30,"Film & Animation",0.0249593640473409,4
1459353,6016,678,552,2017,12,26,2018,1,3,"Film & Animation",0.00412237477841208,12
2579421,91743,9507,20462,2018,2,20,2018,2,28,"Film & Animation",0.0355672842858921,8
5024383,140009,3682,15852,2018,5,25,2018,6,2,"Film & Animation",0.0278659091076457,7
4740629,55651,1743,6398,2018,5,16,2018,6,3,"Film & Animation",0.0117391595081581,17
1621434,17803,1193,1766,2018,3,27,2018,4,4,"Film & Animation",0.0109797870280258,7
2092017,8368,292,616,2018,3,11,2018,3,25,"Film & Animation",0.00399996749548402,14
5874603,253182,3949,13724,2018,5,19,2018,5,30,"Film & Animation",0.0430977208161981,11
3813303,127963,12289,38105,2018,1,19,2018,1,25,"Film & Animation",0.0335569976998943,6
1500108,27096,2330,4910,2018,1,24,2018,1,25,"Film & Animation",0.018062699485637,1
2575351,1365,32,275,2018,5,31,2018,6,4,"Film & Animation",0.00053002483933258,3
22478282,328367,12635,28777,2018,4,13,2018,4,25,"Film & Animation",0.0146081893625144,12
3739645,126409,12101,37592,2018,1,19,2018,1,24,"Film & Animation",0.0338024063781455,5
2337600,10752,440,908,2018,2,5,2018,2,5,"Film & Animation",0.00459958932238193,0
9988608,151348,10274,33131,2018,6,5,2018,6,6,"Film & Animation",0.0151520612281511,1
2693629,70629,2403,10757,2018,2,20,2018,2,27,"Film & Animation",0.026220760171501,7
2096711,49452,2641,4983,2017,11,28,2017,12,1,"Film & Animation",0.023585510831011,3
1931851,116455,1235,12018,2018,1,21,2018,1,23,"Film & Animation",0.0602815641578983,2
